题名,作者,年份,会议或期刊,DOI 或 URL,文献类型,被引次数,与本问题相关的要点
Reciprocal Feedback Regulation of PI3K and Androgen Receptor Signaling in PTEN-Deficient Prostate Cancer,Brett S. Carver; Caren Chapinski; John Wongvipat; Haley Hieronymus; Yu Chen; Sarat Chandarlapaty; 等,2011,Cancer Cell,10.1016/j.ccr.2011.04.008,期刊论文,1203,Carver 等在 PTEN 缺失模型中显示 PI3K 抑制经解除 HER 激酶反馈激活雄激素受体，雄激素受体抑制则降低 PHLPP 而激活 AKT；两通路联合抑制使肿瘤接近完全消退。
Addressing the Reciprocal Crosstalk between the AR and the PI3K/AKT/mTOR Signaling Pathways for Prostate Cancer Treatment,Fabio Raith; Daniel H. O’Donovan; Clara Lemos; Oliver Politz; Bernard Haendler,2023,International Journal of Molecular Sciences,10.3390/ijms24032289,综述,58,Raith 等综述雄激素信号与 PI3K/AKT/mTOR 的相互反馈维持存活，临床抑制剂获益有限且不良反应明显，强调联合方案与预测标志物。
Efficacy and Safety of Combination AKT and Androgen Receptor Signaling Inhibition in Metastatic Castration-Resistant Prostate Cancer: Systematic Review and Meta-Analysis,Tulika Nahar; Maria Anna Bantounou; Isabella Savin; Nakul Chohan; Niraj S Kumar; Aruni Ghose; Ian J McEwan,2024,Clinical Genitourinary Cancer,10.1016/j.clgc.2024.102244,综述,3,Nahar 等汇总 6 项试验 771 例：AKT 抑制剂联合雄激素受体信号抑制使影像学无进展生存风险下降约 16%，PTEN 缺失亚组降幅更大；总生存无显著改善，≥3 级不良事件常见。
Combination therapies with Wnt signaling inhibition: A better choice for prostate cancer treatment,Yifan Hou; Zhenhua Zhao; Pan Li; Yujia Cao; Yi Zhang; Changsheng Guo; Xiaobo Nie; Junqing Hou,2024,Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,10.1016/j.bbcan.2024.189186,综述,10,Hou 等综述 Wnt 通路可经与雄激素受体相互作用或非依赖方式推动恶性转化、免疫抑制微环境与肿瘤干细胞性状，并讨论与内分泌治疗联合。
Clinical implications of Wnt pathway genetic alterations in men with advanced prostate cancer,Amanda J. Broderick; Elizabeth Pan; Jinju Li; Alec Chu; Clara Hwang; Pedro C. Barata; 等,2024,Prostate Cancer and Prostatic Diseases,10.1038/s41391-024-00869-1,期刊论文,6,Broderick 等在 1498 例中界定 Wnt 改变 12.9%，肝肺转移约高一倍并富集 RB1、AR、SPOP、FOXA1 与 PIK3CA 改变，但总生存及其他临床结局无显著差异。
Nuclear receptor NURR1 functions to promote stemness and epithelial-mesenchymal transition in prostate cancer via its targeting of Wnt/β-catenin signaling pathway,Xingxing Zhang; Haolong Li; Yuliang Wang; Hui Zhao; Zhu Wang; Franky Leung Chan,2024,Cell Death and Disease,10.1038/s41419-024-06621-w,期刊论文,20,Zhang 等报告孤儿核受体 NURR1 上调并直接反式激活 CTNNB1，经 Wnt/β-catenin 促进干细胞性状、上皮–间充质转化、转移与去势抵抗，其活性可被小分子调节。
CAF-mediated regulation of prostate cancer stem cell stemness via the Wnt/β-catenin and SDF-1/CXCR4 pathways in castration-resistant prostate cancer,Haoran Chen; Zhen Li; Yue Yuan; Xudong Zhu; Jiazheng Wang; Yafei Chen; 等,2025,Frontiers in Cell and Developmental Biology,10.3389/fcell.2025.1617200,期刊论文,5,Chen 等报告去势抵抗模型中癌相关成纤维细胞经 Wnt3a 与 SDF-1 激活 Wnt/β-catenin 及 SDF-1/CXCR4，增强肿瘤干细胞性状；抑制 β-catenin 或 CXCR4 可抑制移植瘤生长。
Role of the cross-regulation between Wnt pathway activation and androgen receptor signaling in prostate cancer treatment resistance,Nicolás Anselmino; Pablo Sanchis; Juan Bizzotto; Estefanía Labanca; Jiabin Dong; Peter D. A. Shepherd; 等,2026,Cell Death and Differentiation,10.1038/s41418-026-01732-7,期刊论文,0,Anselmino 等提出 AXIN2、RNF43、ZNRF3、NKD1 转录签名反映晚期前列腺癌 Wnt 激活；雄激素受体抑制上调突变驱动的 Wnt 信号，选择性干扰 β-catenin 与 p300/CBP 可恢复对受体通路抑制的敏感性。
DNA-Repair Defects and Olaparib in Metastatic Prostate Cancer,Joaquín Mateo; Suzanne Carreira; Shahneen Sandhu; Susana Miranda; Helen Mossop; Raquel Pérez-López; 等,2015,New England Journal of Medicine,10.1056/NEJMoa1506859,临床试验,2213,Mateo 等在 50 例既往多线治疗的转移性去势抵抗性前列腺癌中给予奥拉帕利，可评价者应答率 33%；DNA 修复基因缺陷 16 例中 14 例应答，含全部 7 例 BRCA2 缺失。
Emerging Role of PARP Inhibitors in Metastatic Prostate Cancer,Serhan Ünlü; Joseph W. Kim,2022,Current Oncology Reports,10.1007/s11912-022-01305-0,综述,7,Ünlü 与 Kim 综述转移性前列腺癌约 10%–30% 携带 DNA 修复通路胚系或体细胞突变，BRCA2 最常见；奥拉帕利与卢卡帕利已获批用于相应同源重组修复改变人群。
Homologous Recombination Repair Deficiency in Metastatic Prostate Cancer: New Therapeutic Opportunities,Claudia Piombino; Stefania Pipitone; Elena Tonni; Luciana Mastrodomenico; Marco Oltrecolli; Cyrielle Tchawa; 等,2024,International Journal of Molecular Sciences,10.3390/ijms25094624,综述,12,Piombino 等综述转移性前列腺癌中同源重组修复缺陷与雄激素受体通路的交叉、检测方法、聚腺苷二磷酸核糖聚合酶抑制剂在修复完整肿瘤中的证据及耐药机制仍待解决。
"Androgen receptor, PARP signaling, and tumor microenvironment: the ‘perfect triad’ in prostate cancer?",Marianna Garofoli; Brigida Anna Maiorano; Giuseppina Bruno; Guido Giordano; P. Di Tullio; Felicia Maria Maselli; Matteo Landriscina; Vincenza Conteduca,2024,Therapeutic Advances in Medical Oncology,10.1177/17588359241258443,综述,13,Garofoli 等综述聚腺苷二磷酸核糖聚合酶抑制剂与雄激素受体通路抑制剂及免疫检查点抑制剂的潜在协同，亦指出免疫抑制微环境等耐药机制可能削弱联合疗效。
"Abiraterone, Olaparib, or Abiraterone + Olaparib in First-Line Metastatic Castration-Resistant Prostate Cancer with DNA Repair Defects (BRCAAway)",Maha Hussain; Masha Kocherginsky; Neeraj Agarwal; Nabil Adra; Jingsong Zhang; Channing J. Paller; 等,2024,Clinical Cancer Research,10.1158/1078-0432.CCR-24-1402,临床试验,45,Hussain 等 BRCAAway 试验在 BRCA1/2 或 ATM 改变的一线转移性去势抵抗性前列腺癌中，阿比特龙联合奥拉帕利的中位无进展生存 39 个月，长于单药或序贯。
Targeting the ATM-TRMT10A-BRCA1 axis confers synthetic lethality to PARP inhibition in metastatic castration-resistant prostate cancer,Ying Yang; Qiang Liu; Xinyan Li; Hua Zhang; Xin Xu; Qi Ma; 等,2025,Science Advances,10.1126/sciadv.adw7989,期刊论文,5,Yang 等报告 DNA 损伤后 ATM 磷酸化 TRMT10A 第 28 位丝氨酸以促进 BRCA1 招募；抑制 USP10 降解 TRMT10A 可在无经典型 BRCA 突变模型中增强对聚腺苷二磷酸核糖聚合酶抑制剂的敏感性。
The role of hypoxia on prostate cancer progression and metastasis,Osama A. A. Mohamed; Heba S. Tesen; Marwa Hany; Aya Sherif; Maya Magdy Abdelwahab; Muhammed H. Elnaggar,2023,Molecular Biology Reports,10.1007/s11033-023-08251-5,综述,72,Mohamed 等综述缺氧诱导因子按缺氧程度导向 PI3K/Akt/mTOR、NOX 与 Wnt/β-catenin，促进上皮–间充质转化并上调雄激素受体表达，参与去势抵抗。
GOLM1 Promotes Epithelial-Mesenchymal Transition by Activating TGFβ1/Smad2 Signaling in Prostate Cancer,Xuke Qin; Lin Liu; Yanze Li; Hongbo Luo; Hui Chen; Xiaodong Weng,2023,Technology in Cancer Research & Treatment,10.1177/15330338231153618,期刊论文,11,Qin 等报告 GOLM1 在前列腺癌上调并与较差预后相关，经 TGF-β1/Smad2 促进迁移与侵袭；敲低后该作用可被转化生长因子-β1 恢复，亦可被 p-Smad 抑制剂取消。
Wild-type C-Raf gene dosage and dimerization drive prostate cancer metastasis,Lisa Ta; Brandon L. Tsai; Weixian Deng; Jihui Sha; Grigor Varuzhanyan; Wendy Tran; 等,2023,iScience,10.1016/j.isci.2023.108480,期刊论文,1,Ta 等报告野生型 C-Raf 过表达按基因剂量促进永生化前列腺细胞转移，依赖二聚化结构域而非激酶活性，并伴随丝裂原活化蛋白激酶信号上调。
"Lineage plasticity and treatment resistance in prostate cancer: the intersection of genetics, epigenetics, and evolution",Jarrell Imamura; Shinjini Ganguly; Andrew Muskara; Ross Liao; Jane Nguyen; Christopher Weight; 等,2023,Frontiers in Endocrinology,10.3389/fendo.2023.1191311,综述,65,Imamura 等综述去势抵抗中一部分肿瘤失去对雄激素受体的依赖，RB1、TP53、PTEN 缺失及 MYCN、AURKA 扩增推动神经内分泌分化，EZH2 等表观遗传重布线参与其中。
Therapeutic Exploitation of Neuroendocrine Transdifferentiation Drivers in Prostate Cancer,Zoe R. Maylin; Christopher D. Smith; Adam Classen; Mohammad Asim; Hardev Pandha; Yuzhuo Wang,2024,Cells,10.3390/cells13231999,综述,16,Maylin 等综述神经内分泌前列腺癌常在激素治疗后出现，丢失雄激素受体与前列腺特异抗原、上调 NSE、CHGA、SYP 与 CD56，并列举 MYCN、ASCL1、BRN2、ONECUT2 与 FOXA2 等转分化驱动因子。
