题名,作者,年份,会议或期刊,DOI 或 URL,文献类型,被引次数,与本问题相关的要点
Flexibility Clearing in Joint Energy and Flexibility Markets Considering TSO-DSO Coordination,Tao Jiang; Chenghao Wu; Rufeng Zhang; Xue Li; Houhe Chen; Guoqing Li,2022,IEEE Transactions on Smart Grid,https://doi.org/10.1109/TSG.2022.3153634,journal_article,90,建立输电联合能量—灵活性市场与配电主动配电网市场的双层出清，耦合节点边际电价与分布式电源报价交互，并化为均衡约束数学规划。
Review of Degradation Models of Battery Energy Storage for Potential Integration into Unit Commitment Problems,Rhianna Maakestad; Farhan Hyder; Gharvin Ramnarase; Bing Yan,2026,Energies,https://doi.org/10.3390/en19061425,journal_article,1,综述电池老化模型及其嵌入机组组合的途径，指出现行机组组合很少纳入退化动态，并比较精度与可求解性的权衡。
Effect of modelling choices in the unit commitment problem,Rogier Hans Wuijts; Marjan van den Akker; Machteld van den Broek,2023,Energy Systems,https://doi.org/10.1007/s12667-023-00564-5,journal_article,34,在大量公开算例上检验机组组合建模取舍：省略最小开停机时间与启动费用会损失质量且不缩短时间；省略备用、爬坡与输电约束可加速但显著降低解的质量。
A Scalable Formulation for Look-Ahead Security-Constrained Optimal Power Flow,Lamia Varawala; Mohammad Reza Hesamzadeh; György Dán; Ross Baldick,2022,IEEE Transactions on Control of Network Systems,https://doi.org/10.1109/tcns.2022.3140711,journal_article,6,给出前瞻安全约束最优潮流的可扩展表述，使决策变量随前瞻时段近似线性增长，并证明在非边界情形下与完整N-1模型等价。
Techniques of power system static security assessment and improvement: A literature survey,Engidaw Abel Hailu; George N. Nyakoe; Christopher Maina Muriithi,2023,Heliyon,https://doi.org/10.1016/j.heliyon.2023.e14524,journal_article,45,综述静态安全评估的性能指标、交流潮流与机器学习途径，以及用柔性交流输电装置改善安全裕度的配置方法。
A Review of Dynamic Constraint Integration Into Steady-State Power System Optimization Models for IBR-Dominated Systems,Shadrack T. Asiedu; Tara Aryal; Abhilasha Suvedi; Zongjie Wang; Hossein Moradi Rekabdarkolaee; Timothy M. Hansen,2025,IEEE Access,https://doi.org/10.1109/ACCESS.2025.3636078,journal_article,1,综述将动态约束嵌入稳态优化以应对逆变器型电源主导系统的方法，并讨论离散化、凸化与约束强化学习求解随机动态最优潮流。
Distributed Energy Resource and Energy Storage Investment for Enhancing Flexibility Under a TSO-DSO Coordination Framework,Chenjia Gu; Jianxue Wang; Lei Wu,2023,IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/TASE.2023.3272532,journal_article,32,用多端口多时段可行域刻画配电灵活性，建立两阶段鲁棒投资模型扩大可行域体积，并在输配电协调下动态调整可行域供给。
A Computationally Efficient Mixed-Integer Linear Formulation for the Thermal Unit Commitment Problem,Miguel Carrión; José M. Arroyo,2006,IEEE Transactions on Power Systems,https://doi.org/10.1109/tpwrs.2006.876672,journal_article,1745,提出比既有模型更少二元变量与约束的火电机组组合混合整数线性表述，可计入时变启动费用、爬坡与最小开停机时间，供商用求解器使用。
AC–DC security-constrained optimal power flow for the Australian National Electricity Market,Ghulam Mohy‐ud‐din; Rahmat Heidari; Hakan Ergun; Frederik Geth,2024,Electric Power Systems Research,https://doi.org/10.1016/j.epsr.2024.110784,journal_article,13,提出面向澳大利亚国家电力市场的交直流安全约束最优潮流分解算法，预防性方案可在5分钟内求得，并用于新能源基地与高压直流强化情景。
Surrogate Modeling for Solving OPF: A Review,Sina Mohammadi; Van‐Hai Bui; Wencong Su; Bin Wang,2024,Sustainability,https://doi.org/10.3390/su16229851,journal_article,20,综述解析代理与学习代理求解交直流最优潮流的路径，比较端到端与混合代理在计算效率、泛化与精度上的差异，并在六节点系统上对照。
Integrating Distributed Flexibility Into TSO-DSO Coordinated Electricity Markets,Georgios Tsaousoglou; Rune Grønborg Junker; Mohsen Banaei; Seyed Shahabaldin Tohidi; Henrik Madsen,2023,"IEEE Transactions on Energy Markets, Policy and Regulation",https://doi.org/10.1109/TEMPR.2023.3319673,journal_article,20,用迭代价格信号代替一次性报价，使多样柔性负荷控制器接入输配电协调市场，并报告收敛性与较短执行时间。
Optimal sizing and siting of energy storage systems considering curtailable photovoltaic generation in power distribution networks,Rahul Gupta; Fabrizio Sossan,2023,Applied Energy,https://doi.org/10.1016/j.apenergy.2023.120955,journal_article,61,在配电规划中同时优化储能选址定容与可削减光伏，用线性化潮流保持可解，并比较不同光伏渗透与电价下储能投资相对弃光的经济性。
